postcode,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time student: Aged 15-24 years,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time student: Aged 25 years and over,Technical or Further Educ Inst (incl. TAFE Colleges): Part-time student: Aged 15-24 years,Technical or Further Educ Inst (incl. TAFE Colleges): Part-time student: Aged 25 years and over,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time/Part-time student status not stated,University or other Tertiary Institution: Full-time student: Aged 15-24 years,University or other Tertiary Institution: Full-time student: Aged 25 years and over,University or other Tertiary Institution: Part-time student: Aged 15-24 years,University or other Tertiary Institution: Part-time student: Aged 25 years and over,University or other Tertiary Institution: Full-time/Part-time student status not stated,Other: Full-time student,Other: Part-time student,Total
"3170, VIC",85,77,42,94,3,743,208,52,157,12,56,111,1635
"3171, VIC",259,199,70,131,5,933,411,87,105,10,265,274,2741
"3172, VIC",151,96,76,115,0,793,166,73,141,6,123,200,1939
"3173, VIC",175,84,88,120,4,901,211,98,170,9,106,171,2128
"3174, VIC",361,250,95,229,5,1137,517,124,237,12,306,374,3649
"3175, VIC",434,381,145,374,13,1276,523,128,286,14,476,550,4596
"3177, VIC",80,81,34,88,3,157,88,18,55,4,91,124,818
"3178, VIC",173,62,171,181,3,1177,205,147,244,0,83,178,2636
"3179, VIC",24,24,28,54,0,201,42,21,53,0,24,31,499
"3180, VIC",32,16,36,47,0,200,42,21,55,0,10,35,513
"3181, VIC",60,101,47,137,0,713,456,90,443,0,48,148,2244
"3182, VIC",82,135,47,193,0,550,452,62,458,10,86,231,2309
"3183, VIC",52,100,34,148,4,503,370,61,377,0,129,132,1916
"3184, VIC",30,63,23,96,0,310,218,50,351,6,31,130,1310
"3185, VIC",28,49,16,69,4,400,171,36,226,3,58,89,1143
"3186, VIC",43,30,31,71,0,843,136,83,261,10,24,129,1663
"3187, VIC",23,29,25,32,0,528,102,52,166,9,16,71,1047
"3188, VIC",46,42,25,74,3,591,110,75,219,9,23,90,1302
"3189, VIC",69,39,19,41,0,138,52,19,70,5,17,28,487
"3190, VIC",29,31,24,42,3,247,75,22,105,3,23,63,667
"3191, VIC",21,8,27,39,0,330,63,29,117,4,10,51,690
"3192, VIC",77,58,82,122,4,512,147,76,225,3,54,117,1472
"3193, VIC",46,18,48,64,0,634,99,71,177,0,18,86,1277
"3194, VIC",43,27,46,92,3,329,99,42,153,3,28,81,947
"3195, VIC",155,67,144,180,4,1001,202,116,377,9,99,187,2543
"3196, VIC",91,75,107,157,3,386,170,63,251,6,46,141,1499
"3197, VIC",33,28,53,77,4,219,39,18,103,0,13,57,632
"3198, VIC",61,43,68,130,5,172,82,22,150,0,31,94,860
"3199, VIC",213,177,289,449,8,997,333,121,485,10,157,324,3565
"3200, VIC",31,33,28,52,0,30,18,9,28,0,30,26,287
"3201, VIC",94,71,122,141,3,265,107,45,161,4,51,115,1179
"3202, VIC",29,4,6,23,0,57,20,9,28,0,15,24,210
"3204, VIC",125,137,82,149,0,1258,353,101,328,10,78,188,2803
"3205, VIC",30,37,23,46,4,333,203,37,212,0,44,78,1055
"3206, VIC",10,17,6,45,0,205,101,26,157,3,17,64,643
"3207, VIC",31,32,25,73,3,243,126,40,262,0,28,98,949
"3211, VIC",4,0,10,6,0,22,0,0,8,0,0,3,64
"3212, VIC",57,33,74,105,0,253,70,40,125,4,86,67,911
"3213, VIC",13,10,25,18,0,81,13,22,26,0,3,23,234
"3214, VIC",131,99,115,143,4,224,88,46,73,3,178,225,1328
"3215, VIC",74,65,92,132,3,407,120,56,156,4,46,125,1279
"3216, VIC",230,115,255,308,0,2842,774,210,557,14,121,290,5723
"3217, VIC",26,16,37,48,0,164,47,25,84,3,8,39,496
"3218, VIC",64,59,54,114,7,363,152,37,205,3,36,76,1161
"3219, VIC",112,66,112,157,4,314,144,44,156,4,36,117,1250
"3220, VIC",57,37,45,78,3,587,276,79,248,3,26,79,1526
"3221, VIC",3,0,3,3,0,13,4,0,4,0,0,0,31
"3222, VIC",40,26,76,85,4,192,75,26,96,0,26,72,723
"3223, VIC",22,18,26,32,0,46,26,3,35,0,3,37,259
"3224, VIC",53,43,72,97,5,189,57,29,106,4,25,62,742
"3225, VIC",5,6,13,11,0,47,17,6,37,0,4,14,167
"3226, VIC",33,23,57,101,0,199,66,27,155,0,22,63,749
"3227, VIC",9,8,25,26,0,71,24,11,49,0,0,11,236
"3228, VIC",53,32,64,103,0,260,133,34,194,5,30,94,1003
"3230, VIC",4,6,10,20,0,26,7,8,34,0,6,8,121
"3231, VIC",4,0,4,9,0,14,3,0,5,0,3,14,60
"3232, VIC",0,4,8,4,0,6,4,0,13,0,0,3,36
"3233, VIC",3,0,12,9,0,5,10,0,17,0,6,11,62
"3234, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3235, VIC",0,0,0,0,0,0,0,0,0,0,0,0,4
"3236, VIC",0,0,0,5,0,0,0,0,3,0,0,0,12
"3237, VIC",0,0,0,0,0,0,0,0,0,0,0,0,3
"3238, VIC",0,0,4,0,0,0,0,0,0,0,0,3,5
"3239, VIC",0,0,0,0,0,0,0,0,0,0,0,0,7
"3240, VIC",3,4,16,10,0,39,7,4,16,0,4,6,114
"3241, VIC",4,9,18,15,0,23,5,3,4,0,4,17,105
"3242, VIC",0,0,0,4,0,6,0,4,5,0,0,5,21
"3243, VIC",0,0,0,5,0,0,0,4,0,0,0,6,16
"3249, VIC",4,0,18,13,0,11,11,8,19,0,0,12,86
"3250, VIC",29,15,48,77,0,39,25,19,57,0,20,48,368
"3251, VIC",0,0,0,0,0,0,0,3,9,0,0,0,20
"3254, VIC",0,0,0,0,0,3,0,3,0,0,0,0,14
"3260, VIC",15,0,21,19,3,26,7,4,31,0,9,8,134
"3264, VIC",9,3,10,17,0,10,7,0,7,0,5,9,82
"3265, VIC",0,0,9,29,0,19,3,6,20,0,5,4,97
"3266, VIC",3,0,23,14,0,8,9,7,9,0,3,6,77
"3267, VIC",0,0,0,3,0,0,0,0,0,0,0,0,7
"3268, VIC",9,0,13,5,0,13,0,0,6,0,0,9,58
"3269, VIC",5,0,8,3,0,0,0,0,3,0,0,0,19
"3270, VIC",0,0,0,0,0,0,0,0,0,0,0,0,8
"3271, VIC",0,0,0,0,0,4,0,0,0,0,0,0,3
"3272, VIC",5,0,5,9,6,3,3,3,8,0,0,10,55
"3273, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3274, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3275, VIC",0,0,0,3,0,0,0,0,0,0,0,6,14
"3276, VIC",0,0,6,0,0,0,0,0,0,0,0,0,13
"3277, VIC",7,0,12,10,0,6,5,5,4,0,0,5,60
"3278, VIC",0,0,0,4,0,0,0,0,0,0,0,0,12
"3279, VIC",0,0,6,0,0,0,0,0,0,0,0,5,12
"3280, VIC",141,82,162,269,8,362,150,57,237,4,54,124,1658
"3281, VIC",4,5,4,9,0,16,4,0,8,0,0,10,70
"3282, VIC",7,3,11,20,0,9,8,0,26,0,3,13,99
"3283, VIC",4,3,9,7,0,14,9,0,5,0,3,6,56
"3284, VIC",4,9,13,14,0,14,7,0,30,0,0,8,101
"3285, VIC",0,0,8,3,0,7,0,0,13,0,0,3,37
"3286, VIC",0,0,4,3,0,0,0,0,5,0,6,3,20
"3287, VIC",6,0,0,0,0,0,0,0,3,0,0,4,12
"3289, VIC",0,0,3,0,0,3,0,0,3,0,0,5,11
"3292, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3293, VIC",0,0,0,0,0,0,0,0,9,0,0,5,12
"3294, VIC",0,4,0,3,0,4,3,5,6,0,0,3,22
"3300, VIC",38,4,50,61,4,26,24,11,62,0,18,40,335
"3301, VIC",0,0,0,5,0,6,0,0,5,0,0,0,24
"3302, VIC",3,0,0,3,0,0,0,0,0,0,0,0,11
"3303, VIC",0,0,0,6,0,4,0,0,0,0,0,3,10
"3304, VIC",0,0,16,14,0,6,3,0,14,0,3,8,72
"3305, VIC",29,14,74,84,0,43,30,13,67,0,15,71,452
"3309, VIC",0,0,0,0,0,0,0,0,0,0,8,0,8
"3310, VIC",0,0,0,0,0,0,0,0,0,0,0,0,6
"3311, VIC",0,0,3,5,0,3,4,0,8,0,3,8,37
"3312, VIC",0,0,5,0,0,0,4,4,6,0,3,0,24
"3314, VIC",0,0,0,3,0,0,0,0,3,0,0,0,7
"3315, VIC",0,0,8,11,0,3,3,0,5,0,0,6,36
"3317, VIC",0,0,0,0,0,0,0,0,3,0,0,0,10
"3318, VIC",3,0,6,3,0,3,5,3,8,0,4,3,34
"3319, VIC",0,0,0,0,0,0,0,0,0,0,0,0,5
"3321, VIC",5,5,5,17,0,21,7,0,10,0,0,9,76
"3322, VIC",0,0,0,0,0,0,0,0,0,0,5,0,4
"3323, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3324, VIC",0,0,4,0,0,0,0,0,0,0,0,5,15
"3325, VIC",0,0,0,3,0,0,0,0,0,0,0,0,9
"3328, VIC",0,0,7,16,0,14,7,3,16,0,0,13,85
"3329, VIC",0,0,0,0,0,0,0,0,0,0,0,0,10
"3330, VIC",0,0,0,0,0,0,3,0,0,0,0,0,9
"3331, VIC",21,10,40,42,3,59,20,9,51,0,11,27,294
"3332, VIC",4,0,6,6,0,11,0,0,6,0,4,4,48
"3333, VIC",0,0,4,5,0,0,6,3,5,0,0,0,23
"3334, VIC",0,0,6,3,0,4,4,3,9,0,3,5,30
"3335, VIC",6,12,20,39,0,96,37,18,38,0,17,31,322
"3337, VIC",148,118,179,193,6,467,177,71,234,7,164,270,2035
"3338, VIC",75,74,80,149,5,255,130,48,204,0,129,187,1339
"3340, VIC",49,26,97,101,3,289,99,57,174,5,65,120,1074
"3341, VIC",7,0,14,9,0,25,4,3,18,0,6,6,85
"3342, VIC",13,6,6,23,0,24,15,7,37,0,8,26,166
"3345, VIC",4,0,3,5,0,14,8,0,12,0,6,9,49
"3350, VIC",204,117,193,314,7,2213,679,183,811,9,103,275,5119
"3351, VIC",29,4,41,29,3,93,39,13,62,0,11,31,351
"3352, VIC",24,8,76,79,3,155,65,48,139,3,23,67,699
"3355, VIC",39,21,39,60,0,161,78,24,96,4,71,65,661
"3356, VIC",59,39,75,105,6,301,120,60,111,3,42,91,1012
"3357, VIC",8,0,15,16,0,67,16,12,52,0,9,18,209
"3360, VIC",0,0,0,4,0,0,6,0,0,0,0,5,14
"3361, VIC",0,0,4,0,0,0,0,0,0,0,0,3,15
"3363, VIC",6,5,5,16,0,19,27,8,32,3,11,12,140
"3364, VIC",3,0,9,10,0,19,11,0,14,0,0,4,77
"3370, VIC",8,3,5,6,0,14,3,0,17,0,11,9,74
"3371, VIC",0,0,3,0,0,0,0,0,3,0,4,8,23
"3373, VIC",0,0,10,10,0,12,4,4,7,0,3,8,58
"3374, VIC",0,0,0,0,0,0,3,0,8,0,0,4,19
"3375, VIC",0,0,0,0,0,0,0,0,0,0,0,0,9
"3377, VIC",4,13,31,23,0,39,30,22,51,0,3,28,249
"3378, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3379, VIC",0,0,0,0,0,0,0,0,5,0,0,0,18
"3380, VIC",11,3,17,24,0,15,15,5,36,0,11,19,155
"3381, VIC",4,0,4,0,6,3,3,0,13,0,3,9,46
"3384, VIC",0,0,0,0,0,0,0,0,0,0,0,4,11
"3385, VIC",0,0,0,3,0,0,0,0,0,0,6,0,17
"3387, VIC",0,0,0,0,0,0,0,0,0,0,0,0,5
"3388, VIC",0,0,0,3,0,5,5,0,5,0,0,4,20
"3390, VIC",0,0,0,5,0,11,0,0,4,0,7,4,36
"3391, VIC",0,0,0,0,0,0,0,0,0,0,3,0,3
"3392, VIC",0,0,0,0,0,0,0,0,0,0,6,5,17
"3393, VIC",3,0,8,13,0,4,3,4,17,0,6,11,72
"3395, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3396, VIC",0,0,0,6,0,0,4,0,4,0,0,0,11
"3400, VIC",27,20,43,59,0,54,51,32,112,0,27,67,489
"3401, VIC",40,3,10,17,0,35,6,12,19,0,10,12,171
"3407, VIC",0,0,6,4,0,0,0,0,0,0,0,0,8
"3409, VIC",0,0,4,3,0,0,4,0,9,0,0,4,23
"3412, VIC",0,0,0,0,0,0,0,0,0,0,0,0,4
"3413, VIC",0,0,3,0,0,0,0,0,0,0,0,0,4
"3414, VIC",3,0,9,0,0,8,4,0,4,0,0,10,40
"3415, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3418, VIC",3,3,7,10,0,5,10,5,10,0,0,17,78
"3419, VIC",3,0,0,6,0,0,0,0,8,0,0,0,26
"3420, VIC",0,0,0,0,0,0,0,0,0,0,0,0,6
"3423, VIC",0,3,0,0,0,0,0,0,4,0,0,5,17
"3424, VIC",0,0,4,0,0,5,0,0,3,0,0,0,15
"3427, VIC",5,3,12,11,0,44,8,14,23,0,3,19,149
"3428, VIC",0,0,5,3,0,6,6,0,3,0,0,3,34
"3429, VIC",139,82,243,200,3,717,205,109,321,7,86,210,2333
"3430, VIC",0,0,9,0,0,4,0,0,0,0,8,0,20
"3431, VIC",7,5,23,27,0,68,16,9,43,0,0,26,223
"3432, VIC",0,0,3,0,0,4,0,0,0,0,0,0,10
"3433, VIC",0,0,0,0,0,0,0,0,5,0,0,0,13
"3434, VIC",13,3,36,22,0,59,16,15,34,0,5,35,239
"3435, VIC",4,5,16,11,0,18,11,0,30,0,3,9,109
"3437, VIC",31,10,54,41,0,190,30,22,86,0,15,65,549
"3438, VIC",3,3,9,14,0,51,6,9,25,0,6,9,138
"3440, VIC",3,0,7,8,0,36,10,3,22,0,0,10,103
"3441, VIC",0,0,5,7,0,22,4,0,20,0,5,6,67
"3442, VIC",16,9,36,36,0,92,33,12,80,0,8,28,356
"3444, VIC",16,13,33,42,0,81,50,13,69,0,9,36,354
"3446, VIC",5,9,13,9,0,5,3,3,9,0,11,9,54
"3447, VIC",5,0,0,0,0,0,0,0,0,0,0,0,15
"3448, VIC",3,0,0,3,0,5,3,0,3,0,0,9,31
"3450, VIC",26,14,10,24,0,44,56,10,70,0,11,40,298
"3451, VIC",11,12,27,21,0,26,17,3,49,0,3,26,201
"3453, VIC",5,4,4,10,0,7,4,4,19,0,0,3,67
"3458, VIC",0,0,3,11,0,11,10,0,21,0,4,3,72
"3460, VIC",0,3,9,14,0,14,17,5,25,0,4,21,105
"3461, VIC",6,7,8,26,0,18,21,9,47,0,3,11,155
"3462, VIC",0,4,0,11,0,9,5,4,5,0,0,7,40
"3463, VIC",3,0,3,9,0,7,6,0,30,0,0,10,72
"3464, VIC",0,0,3,4,0,9,0,0,4,0,5,7,38
"3465, VIC",26,14,28,27,5,50,22,15,43,3,24,30,291
"3467, VIC",3,0,3,4,0,4,3,5,4,0,4,7,34
"3468, VIC",0,0,0,0,0,5,0,0,0,0,0,5,7
"3469, VIC",0,0,0,0,0,0,0,0,0,0,0,0,3
"3472, VIC",0,0,0,4,0,4,0,4,0,0,5,5,20
"3475, VIC",0,0,0,0,0,5,0,0,0,0,0,0,11
"3477, VIC",0,0,3,3,0,0,5,0,5,0,0,0,26
"3478, VIC",0,0,8,7,0,6,5,3,7,0,9,4,59
"3480, VIC",0,0,4,0,0,4,0,0,6,0,0,0,20
"3482, VIC",0,0,0,0,0,0,0,0,0,0,0,0,3
"3483, VIC",0,0,0,4,0,5,0,0,19,0,0,0,27
"3485, VIC",0,0,0,3,0,0,0,0,4,0,0,0,7
"3487, VIC",0,0,0,0,0,0,0,0,0,0,0,0,4
"3488, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3489, VIC",0,0,0,0,0,0,0,0,0,0,0,3,3
"3490, VIC",4,0,8,0,0,0,0,0,6,0,0,0,23
"3491, VIC",0,0,0,0,0,0,0,0,0,0,0,0,6
"3494, VIC",0,0,0,11,0,5,0,0,3,0,0,0,22
"3496, VIC",18,6,25,54,4,28,14,14,26,0,9,23,219
"3498, VIC",25,7,27,27,0,28,13,5,20,0,8,14,182
"3500, VIC",145,108,168,266,7,215,122,61,222,3,93,136,1544
"3501, VIC",5,0,8,12,0,7,8,5,11,0,0,4,69
"3505, VIC",19,5,14,14,0,19,7,4,22,0,5,14,128
"3506, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3507, VIC",0,0,0,0,0,0,0,0,0,0,0,0,5
"3509, VIC",0,0,0,0,0,0,0,0,0,0,0,0,4
"3512, VIC",0,0,0,0,0,0,0,0,3,0,0,0,7
"3515, VIC",11,3,11,16,0,15,7,7,5,0,4,4,79
"3516, VIC",0,0,0,0,0,6,0,0,0,0,0,0,13
"3517, VIC",3,0,0,0,0,0,3,0,7,0,0,6,22
"3518, VIC",0,0,7,3,0,13,3,0,3,0,5,3,36
"3520, VIC",0,0,0,0,0,0,0,0,0,0,0,0,5
"3521, VIC",0,0,3,5,0,7,0,0,4,0,0,6,25
"3522, VIC",0,0,4,0,0,0,0,0,3,0,0,0,12
"3523, VIC",6,11,8,16,0,12,0,0,21,0,7,10,94
"3525, VIC",0,0,4,6,0,0,0,0,3,0,0,3,28
"3527, VIC",0,0,3,0,0,0,0,0,8,0,3,4,23
"3529, VIC",0,0,4,0,0,0,0,0,0,0,0,0,4
"3530, VIC",0,0,0,0,0,0,0,0,3,0,0,0,3
"3531, VIC",4,0,0,0,0,0,0,0,0,0,0,0,5
"3533, VIC",6,0,0,8,0,0,3,0,0,0,0,0,18
"3537, VIC",0,0,0,0,0,3,0,0,5,0,0,0,10
"3540, VIC",0,0,0,0,0,0,0,0,0,0,4,0,4
"3542, VIC",0,0,0,0,0,0,0,0,0,0,0,0,4
"3544, VIC",0,0,0,0,0,3,0,0,0,0,0,0,13
"3546, VIC",0,0,0,0,0,0,0,0,0,0,0,0,6
"3549, VIC",0,4,12,23,0,5,9,5,9,0,12,7,92
"3550, VIC",191,143,168,227,5,1689,370,106,367,9,69,174,3529
"3551, VIC",111,45,129,176,5,322,102,57,224,6,41,126,1347
"3555, VIC",68,62,75,120,0,237,102,28,136,0,44,85,966
"3556, VIC",69,47,67,83,3,121,51,19,73,0,41,60,643
"3557, VIC",0,5,4,7,0,4,0,0,3,0,0,6,28
"3558, VIC",5,0,7,3,0,0,3,5,4,0,0,5,33
"3559, VIC",5,0,0,4,0,0,4,0,0,0,5,0,17
"3561, VIC",6,0,24,23,0,15,8,4,22,0,3,16,125
"3562, VIC",0,0,0,4,0,0,0,0,4,0,0,0,9
"3563, VIC",0,0,8,3,0,0,0,0,0,0,0,4,21
"3564, VIC",39,22,97,95,8,68,45,23,87,0,24,72,575
"3565, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3566, VIC",0,0,0,0,0,4,0,0,0,0,0,0,9
"3567, VIC",0,0,4,0,0,0,0,0,0,0,0,0,6
"3568, VIC",7,0,8,5,0,15,3,0,10,0,3,0,51
"3570, VIC",0,4,0,4,0,3,0,0,4,0,0,0,24
"3571, VIC",0,0,0,0,0,0,0,0,0,0,0,0,3
"3572, VIC",0,0,0,0,0,0,0,0,0,0,0,0,7
"3573, VIC",0,0,0,0,0,0,0,0,0,0,0,0,8
"3575, VIC",0,0,0,6,0,5,5,0,8,0,3,5,30
"3576, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3579, VIC",8,6,24,25,0,14,5,7,20,0,0,19,123
"3580, VIC",0,0,6,9,0,0,0,0,3,0,0,0,29
"3581, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3583, VIC",0,0,3,0,0,0,0,0,0,0,0,0,4
"3584, VIC",5,0,0,10,0,4,3,0,8,0,0,0,29
"3585, VIC",20,21,72,91,10,49,25,21,60,0,20,41,430
"3586, VIC",4,0,0,9,0,3,0,0,3,0,0,5,36
"3588, VIC",0,0,4,0,0,0,0,0,3,0,0,0,9
"3589, VIC",3,0,0,3,0,3,0,0,3,0,0,0,14
"3590, VIC",0,0,7,0,0,0,0,0,0,0,0,0,11
"3591, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3594, VIC",0,0,4,0,0,5,0,0,0,0,0,0,12
"3595, VIC",0,0,9,6,0,0,0,0,5,0,5,0,18
"3596, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3597, VIC",0,0,0,0,0,0,0,0,0,0,0,0,10
"3599, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3607, VIC",0,0,0,0,0,0,0,0,0,0,0,0,3
"3608, VIC",5,5,7,14,0,11,3,3,13,0,0,4,70
"3610, VIC",0,0,5,10,0,6,0,0,6,0,0,8,40
"3612, VIC",0,7,11,3,0,6,0,3,4,0,0,4,42
"3614, VIC",0,0,3,0,0,9,3,5,3,0,0,3,29
"3616, VIC",10,3,19,33,0,28,9,4,36,0,10,9,155
"3617, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3618, VIC",0,0,0,0,0,3,3,0,0,0,0,5,21
"3620, VIC",19,12,41,44,0,33,13,5,30,0,11,17,224
"3621, VIC",6,0,13,13,0,5,3,3,5,0,0,0,56
"3622, VIC",0,0,0,0,0,0,0,0,6,0,0,0,7
"3623, VIC",0,0,5,3,0,6,0,0,5,0,0,0,17
"3624, VIC",0,0,5,0,0,0,0,0,4,0,0,0,18
"3629, VIC",35,28,46,66,0,41,28,12,52,0,27,48,396
"3630, VIC",160,160,150,242,6,230,124,50,206,4,119,170,1613
"3631, VIC",35,22,59,53,0,77,41,19,88,3,21,36,457
"3633, VIC",0,0,4,0,0,0,0,3,0,0,4,5,19
"3634, VIC",4,0,7,8,0,3,0,3,20,0,7,3,59
"3635, VIC",0,0,3,3,0,4,0,4,0,0,0,0,24
"3636, VIC",18,15,23,41,0,17,16,20,20,0,12,23,199
"3637, VIC",0,0,6,7,0,0,0,0,0,0,4,0,21
"3638, VIC",6,0,16,13,0,5,0,0,12,0,6,7,54
"3639, VIC",0,3,3,0,0,0,0,0,0,0,0,0,9
"3640, VIC",7,3,20,3,3,4,0,0,5,0,9,6,53
"3641, VIC",0,0,4,10,0,0,3,4,6,0,0,7,30
"3646, VIC",0,5,3,4,0,0,0,0,5,0,0,0,26
"3647, VIC",0,0,0,0,0,38,6,0,4,0,0,0,46
"3649, VIC",0,0,5,6,0,0,0,0,3,0,0,0,16
"3658, VIC",24,10,36,40,0,53,21,11,50,0,11,28,272
"3659, VIC",0,0,3,0,0,10,3,0,7,0,0,10,36
"3660, VIC",63,25,35,59,0,38,22,3,52,0,52,33,396
"3662, VIC",0,3,6,8,0,4,5,4,41,0,22,6,105
"3663, VIC",0,0,0,3,0,0,0,0,0,0,0,0,5
"3664, VIC",4,0,0,7,0,0,0,0,10,0,0,6,31
"3665, VIC",0,0,0,0,0,0,0,0,0,0,0,0,7
"3666, VIC",10,4,22,31,0,11,12,9,24,0,12,23,155
"3669, VIC",0,0,7,11,0,0,3,0,4,0,0,7,34
"3670, VIC",0,0,0,3,0,3,3,0,3,0,0,0,14
"3672, VIC",24,19,52,57,3,27,14,10,46,4,14,29,299
"3673, VIC",9,0,9,8,0,5,4,0,5,0,5,5,58
"3675, VIC",7,0,6,13,0,8,3,3,16,0,6,4,61
"3677, VIC",72,43,80,103,3,97,57,22,142,5,25,64,709
"3678, VIC",12,11,33,35,0,28,12,3,51,0,11,16,206
"3682, VIC",0,0,7,0,0,4,0,0,0,0,0,0,23
"3683, VIC",4,4,14,10,0,4,0,3,9,0,4,9,66
"3685, VIC",0,12,11,17,0,22,5,3,16,0,0,4,89
"3687, VIC",7,5,11,15,0,4,0,0,5,0,0,3,41
"3688, VIC",3,0,13,12,0,8,0,0,11,0,0,3,55
"3690, VIC",174,142,257,314,6,269,167,61,324,0,91,166,1978
"3694, VIC",0,3,0,0,0,0,0,0,3,0,7,0,18
"3695, VIC",0,0,3,0,0,5,0,0,3,0,0,0,19
"3697, VIC",0,0,5,0,0,0,0,0,8,0,0,4,24
"3698, VIC",0,0,0,4,0,0,6,3,11,0,0,4,26
"3699, VIC",17,5,12,31,0,57,18,15,45,0,4,21,221
"3700, VIC",3,0,12,9,0,4,0,0,10,0,6,3,46
"3701, VIC",0,0,10,3,0,4,5,0,0,0,0,0,28
"3704, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3705, VIC",0,0,0,3,0,0,0,0,3,0,0,0,8
"3708, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3709, VIC",0,0,3,0,0,0,0,0,0,0,0,0,8
"3711, VIC",0,0,0,0,0,0,0,0,0,0,0,3,11
"3712, VIC",0,0,0,9,0,0,4,0,4,0,0,0,17
"3713, VIC",3,0,0,4,0,0,0,0,3,0,0,0,25
"3714, VIC",5,5,13,12,0,10,3,0,23,0,11,13,95
"3715, VIC",0,0,0,0,0,3,0,0,0,0,0,0,10
"3717, VIC",5,0,17,18,0,16,8,3,12,0,3,3,94
"3718, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3719, VIC",0,0,0,3,0,0,0,0,0,0,0,5,10
"3720, VIC",0,3,0,3,0,0,3,0,0,0,0,3,14
"3722, VIC",5,8,22,23,0,25,17,14,36,0,5,24,178
"3723, VIC",4,0,11,19,0,52,14,13,36,0,9,20,181
"3725, VIC",0,0,0,3,0,0,0,0,4,0,5,3,19
"3726, VIC",0,0,0,6,0,5,0,0,0,0,0,0,10
"3727, VIC",0,0,3,0,0,0,0,0,0,0,0,0,3
"3728, VIC",3,0,0,0,0,0,0,0,3,0,0,0,7
"3730, VIC",10,18,53,70,4,42,15,12,31,0,13,31,288
"3732, VIC",3,0,0,0,0,0,5,0,0,0,0,0,16
"3733, VIC",0,0,0,0,0,0,0,0,0,0,0,0,4
"3735, VIC",0,0,7,5,0,0,0,0,0,0,0,5,13
"3737, VIC",7,4,22,21,0,15,3,0,11,0,6,19,115
"3738, VIC",0,0,3,3,0,0,0,0,0,0,0,0,8
"3739, VIC",0,0,0,0,0,0,0,0,0,0,0,0,3
"3740, VIC",9,0,5,3,0,5,0,4,7,0,0,3,44
"3741, VIC",12,3,12,27,4,37,25,22,53,0,5,27,222
"3744, VIC",0,0,7,5,0,0,4,0,0,0,0,3,16
"3746, VIC",0,0,5,4,0,0,0,0,9,0,0,0,14
"3747, VIC",8,11,21,26,0,10,20,7,42,0,5,13,160
"3749, VIC",4,0,10,8,0,8,6,0,18,0,3,9,73
"3750, VIC",55,36,27,72,0,174,102,15,74,0,46,52,665
"3751, VIC",0,0,0,0,0,4,0,0,0,0,0,0,11
"3752, VIC",105,69,106,119,0,588,169,48,170,4,83,123,1591
"3753, VIC",10,9,11,8,0,19,13,4,18,0,4,15,109
"3754, VIC",148,123,154,279,7,546,238,89,380,4,94,229,2279
"3755, VIC",0,0,0,0,0,3,0,0,0,0,0,0,10
"3756, VIC",36,21,66,87,3,115,42,24,75,3,25,67,574
"3757, VIC",27,15,60,46,0,120,28,14,61,0,13,44,425
"3758, VIC",3,0,12,12,0,33,8,0,10,0,5,9,94
"3759, VIC",0,0,11,7,0,31,3,5,13,0,0,4,68
"3760, VIC",0,0,5,3,0,3,0,4,4,0,0,0,19
"3761, VIC",7,4,9,0,0,16,9,6,16,0,0,8,77
"3762, VIC",0,0,0,0,0,8,0,0,0,0,0,0,7
"3763, VIC",3,3,9,4,0,13,10,4,14,0,0,9,72
"3764, VIC",33,16,58,49,0,95,31,21,79,3,17,33,434
"3765, VIC",23,12,52,44,0,114,21,18,46,0,15,46,389
"3766, VIC",3,5,5,11,0,15,9,0,17,0,0,7,83
"3767, VIC",5,4,6,9,0,28,0,4,18,0,0,9,83
"3770, VIC",8,6,40,11,0,43,16,8,26,0,7,14,174
"3775, VIC",20,5,23,23,0,45,16,15,28,0,4,24,193
"3777, VIC",36,12,65,63,0,89,36,15,76,0,3,65,455
"3778, VIC",0,0,5,0,0,0,0,0,3,0,0,0,8
